SICGroup,GroupDescription,SICCode,SICSection,SICDivision
01.1,Growing of non-perennial crops,01100,A,01
01.2,Growing of perennial crops,01200,A,01
01.3,Plant propagation,01300,A,01
01.4,Animal production,01400,A,01
01.5,Mixed farming,01500,A,01
01.6,Support activities to agriculture and post-harvest crop activities,01600,A,01
01.7,"Hunting, trapping and related service activities",01700,A,01
02.1,Silviculture and other forestry activities,02100,A,02
02.2,Logging,02200,A,02
02.3,Gathering of wild growing non-wood products,02300,A,02
02.4,Support services to forestry,02400,A,02
03.1,Fishing,03100,A,03
03.2,Aquaculture,03200,A,03
05.1,Mining of hard coal,05100,B,05
05.2,Mining of lignite,05200,B,05
06.1,Extraction of crude petroleum,06100,B,06
06.2,Extraction of natural gas,06200,B,06
07.1,Mining of iron ores,07100,B,07
07.2,Mining of non-ferrous metal ores,07200,B,07
08.1,"Quarrying of stone, sand and clay",08100,B,08
08.9,Mining and quarrying n.e.c.,08900,B,08
09.1,Support activities for petroleum and natural gas extraction,09100,B,09
09.9,Support activities for other mining and quarrying,09900,B,09
10.1,Processing and preserving of meat and production of meat products,10100,C,10
10.2,"Processing and preserving of fish, crustaceans and molluscs",10200,C,10
10.3,Processing and preserving of fruit and vegetables,10300,C,10
10.4,Manufacture of vegetable and animal oils and fats,10400,C,10
10.5,Manufacture of dairy products,10500,C,10
10.6,"Manufacture of grain mill products, starches and starch products",10600,C,10
10.7,Manufacture of bakery and farinaceous products,10700,C,10
10.8,Manufacture of other food products,10800,C,10
10.9,Manufacture of prepared animal feeds,10900,C,10
11.0,Manufacture of beverages,11000,C,11
12.0,Manufacture of tobacco products,12000,C,12
13.1,Preparation and spinning of textile fibres,13100,C,13
13.2,Weaving of textiles,13200,C,13
13.3,Finishing of textiles,13300,C,13
13.9,Manufacture of other textiles,13900,C,13
14.1,"Manufacture of wearing apparel, except fur apparel",14100,C,14
14.2,Manufacture of articles of fur,14200,C,14
14.3,Manufacture of knitted and crocheted apparel,14300,C,14
15.1,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",15100,C,15
15.2,Manufacture of footwear,15200,C,15
16.1,Sawmilling and planing of wood,16100,C,16
16.2,"Manufacture of products of wood, cork, straw and plaiting materials",16200,C,16
17.1,"Manufacture of pulp, paper and paperboard",17100,C,17
17.2,Manufacture of articles of paper and paperboard,17200,C,17
18.1,Printing and service activities related to printing,18100,C,18
18.2,Reproduction of recorded media,18200,C,18
19.1,Manufacture of coke oven products,19100,C,19
19.2,Manufacture of refined petroleum products,19200,C,19
20.1,"Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms",20100,C,20
20.2,Manufacture of pesticides and other agrochemical products,20200,C,20
20.3,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",20300,C,20
20.4,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",20400,C,20
20.5,Manufacture of other chemical products,20500,C,20
20.6,Manufacture of man-made fibres,20600,C,20
