SICSubclass,SubclassDescription,SICCode,SICSection,SICDivision,SICGroup,SICClass
01.62/1,Farm animal boarding and care,01621,A,01,01.6,01.62
01.62/9,Support activities for animal production (other than farm animal boarding and care) n.e.c.,01629,A,01,01.6,01.62
05.10/1,Mining of hard coal from deep coal mines (underground mining),05101,B,05,05.1,05.10
05.10/2,Mining of hard coal from open cast coal working (surface mining),05102,B,05,05.1,05.10
10.51/1,Liquid milk and cream production,10511,C,10,10.5,10.51
10.51/2,Butter and cheese production,10512,C,10,10.5,10.51
10.51/9,"Manufacture of milk products (other than liquid milk and cream, butter, cheese) n.e.c.",10519,C,10,10.5,10.51
10.61/1,Grain milling,10611,C,10,10.6,10.61
10.61/2,Manufacture of breakfast cereals and cereals-based foods,10612,C,10,10.6,10.61
10.82/1,"Manufacture of cocoa, and chocolate confectionery",10821,C,10,10.8,10.82
10.82/2,Manufacture of sugar confectionery,10822,C,10,10.8,10.82
10.83/1,Tea processing,10831,C,10,10.8,10.83
10.83/2,Production of coffee and coffee substitutes,10832,C,10,10.8,10.83
13.92/1,Manufacture of soft furnishings,13921,C,13,13.9,13.92
13.92/2,"Manufacture of canvas goods, sacks etc.",13922,C,13,13.9,13.92
13.92/3,Manufacture of household textiles (other than soft furnishings of 13.92/1),13923,C,13,13.9,13.92
13.93/1,Manufacture of woven or tufted carpets and rugs,13931,C,13,13.9,13.93
13.93/9,Manufacture of carpets and rugs (other than woven or tufted) n.e.c.,13939,C,13,13.9,13.93
14.13/1,"Manufacture of men's outerwear, other than leather clothes and workwear",14131,C,14,14.1,14.13
14.13/2,"Manufacture of women's outerwear, other than leather clothes and workwear",14132,C,14,14.1,14.13
14.14/1,Manufacture of men's underwear,14141,C,14,14.1,14.14
14.14/2,Manufacture of women's underwear,14142,C,14,14.1,14.14
17.21/1,Manufacture of corrugated paper and paperboard; manufacture of sacks and bags of paper,17211,C,17,17.2,17.21
17.21/9,Manufacture of paper and paperboard containers other than sacks and bags,17219,C,17,17.2,17.21
18.12/1,Manufacture of printed labels,18121,C,18,18.1,18.12
18.12/9,Printing (other than printing of newspapers and printing on labels and tags) n.e.c.,18129,C,18,18.1,18.12
18.20/1,Reproduction of sound recording,18201,C,18,18.2,18.20
18.20/2,Reproduction of video recording,18202,C,18,18.2,18.20
18.20/3,Reproduction of computer media,18203,C,18,18.2,18.20
19.20/1,Mineral oil refining,19201,C,19,19.2,19.20
19.20/9,Other treatment of petroleum products (excluding mineral oil refining/petrochemicals manufacture),19209,C,19,19.2,19.20
20.30/1,"Manufacture of paints, varnishes and similar coatings, mastics and sealants",20301,C,20,20.3,20.30
20.30/2,Manufacture of printing ink,20302,C,20,20.3,20.30
20.41/1,Manufacture of soap and detergents,20411,C,20,20.4,20.41
20.41/2,Manufacture of cleaning and polishing preparations,20412,C,20,20.4,20.41
26.30/1,Manufacture of telegraph and telephone apparatus and equipment,26301,C,26,26.3,26.30
26.30/9,Manufacture of communication equipment (other than telegraph and telephone apparatus and equipment),26309,C,26,26.3,26.30
26.51/1,"Manufacture of electronic instruments and appliances for measuring, testing, and navigation, except industrial process control equipment",26511,C,26,26.5,26.51
26.51/2,Manufacture of electronic industrial process control equipment,26512,C,26,26.5,26.51
26.51/3,"Manufacture of non-electronic instruments and appliances for measuring, testing and navigation, except industrial process control equipment",26513,C,26,26.5,26.51
26.51/4,Manufacture of non-electronic industrial process control equipment,26514,C,26,26.5,26.51
26.70/1,Manufacture of optical precision instruments,26701,C,26,26.7,26.70
26.70/2,Manufacture of photographic and cinematographic equipment,26702,C,26,26.7,26.70
28.13/1,Manufacture of pumps,28131,C,28,28.1,28.13
28.13/2,Manufacture of compressors,28132,C,28,28.1,28.13
28.30/1,Manufacture of agricultural tractors,28301,C,28,28.3,28.30
28.30/2,Manufacture of agricultural and forestry machinery (other than agricultural tractors),28302,C,28,28.3,28.30
28.92/1,Manufacture of machinery for mining,28921,C,28,28.9,28.92
28.92/2,Manufacture of earthmoving equipment,28922,C,28,28.9,28.92
28.92/3,Manufacture of equipment for concrete crushing and screening roadworks,28923,C,28,28.9,28.92
29.20/1,Manufacture of bodies (coachwork) for motor vehicles (except caravans),29201,C,29,29.2,29.20
29.20/2,Manufacture of trailers and semi-trailers,29202,C,29,29.2,29.20
29.20/3,Manufacture of caravans,29203,C,29,29.2,29.20
32.40/1,Manufacture of professional and arcade games and toys,32401,C,32,32.4,32.40
32.40/9,Manufacture of games and toys (other than professional and arcade games and toys) n.e.c.,32409,C,32,32.4,32.40
41.20/1,Construction of commercial buildings,41201,F,41,41.2,41.20
41.20/2,Construction of domestic buildings,41202,F,41,41.2,41.20
43.34/1,Painting,43341,F,43,43.3,43.34
43.34/2,Glazing,43342,F,43,43.3,43.34
43.99/1,Scaffold erection,43991,F,43,43.9,43.99
43.99/9,Specialised construction activities (other than scaffold erection) n.e.c.,43999,F,43,43.9,43.99
45.11/1,Sale of new cars and light motor vehicles,45111,G,45,45.1,45.11
45.11/2,Sale of used cars and light motor vehicles,45112,G,45,45.1,45.11
46.34/1,"Wholesale of fruit and vegetable juices, mineral waters and soft drinks",46341,G,46,46.3,46.34
46.34/2,"Wholesale of wine, beer, spirits and other alcoholic beverages",46342,G,46,46.3,46.34
46.43/1,"Wholesale of gramophone records, audio tapes, compact discs and video tapes and of the equipment on which these are played",46431,G,46,46.4,46.43
46.43/9,"Wholesale of radio and television goods and of electrical household appliances (other than of gramophone records, audio tapes, compact discs and video tapes and the equipment on whi",46439,G,46,46.4,46.43
46.49/1,Wholesale of musical instruments,46491,G,46,46.4,46.49
46.49/9,Wholesale of household goods (other than musical instruments) n.e.c.,46499,G,46,46.4,46.49
46.71/1,Wholesale of petroleum and petroleum products,46711,G,46,46.7,46.71
46.71/9,Wholesale of fuels and related products (other than petroleum and petroleum products),46719,G,46,46.7,46.71
47.42/1,Retail sale of mobile telephones in specialised stores,47421,G,47,47.4,47.42
47.42/9,"Retail sale of telecommunications equipment (other than mobile telephones) n.e.c., in specialised stores",47429,G,47,47.4,47.42
47.59/1,Retail sale of musical instruments and scores in specialised stores,47591,G,47,47.5,47.59
47.59/9,"Retail sale of furniture, lighting equipment and other household articles (other than musical instruments) n.e.c., in specialised stores",47599,G,47,47.5,47.59
47.72/1,Retail sale of footwear in specialised stores,47721,G,47,47.7,47.72
47.72/2,Retail sale of leather goods in specialised stores,47722,G,47,47.7,47.72
47.74/1,Retail sale of hearing aids in specialised stores,47741,G,47,47.7,47.74
47.74/9,"Retail sale of medical and orthopaedic goods (other than hearing aids) n.e.c., in specialised stores",47749,G,47,47.7,47.74
47.78/1,Retail sale in commercial art galleries,47781,G,47,47.7,47.78
47.78/2,Retail sale by opticians,47782,G,47,47.7,47.78
47.78/9,"Other retail sale of new goods in specialised stores (other than by opticians or commercial art galleries), n.e.c.",47789,G,47,47.7,47.78
47.79/1,"Retail sale of antiques including antique books, in stores",47791,G,47,47.7,47.79
47.79/9,Retail sale of second-hand goods (other than antiques and antique books) in stores,47799,G,47,47.7,47.79
49.31/1,"Urban, suburban or metropolitan area passenger railway transportation by underground, metro and similar systems",49311,H,49,49.3,49.31
49.31/9,"Urban, suburban or metropolitan area passenger land transport other than railway transportation by underground, metro and similar systems",49319,H,49,49.3,49.31
51.10/1,Scheduled passenger air transport,51101,H,51,51.1,51.10
51.10/2,Non-scheduled passenger air transport,51102,H,51,51.1,51.10
52.10/1,Operation of warehousing and storage facilities for water transport activities of division ##50,52101,H,52,52.1,52.10
52.10/2,Operation of warehousing and storage facilities for air transport activities of division ##51,52102,H,52,52.1,52.10
52.10/3,Operation of warehousing and storage facilities for land transport activities of division ##49,52103,H,52,52.1,52.10
52.21/1,Operation of rail freight terminals,52211,H,52,52.2,52.21
52.21/2,Operation of rail passenger facilities at railway stations,52212,H,52,52.2,52.21
52.21/3,Operation of bus and coach passenger facilities at bus and coach stations,52213,H,52,52.2,52.21
52.21/9,"Other service activities incidental to land transportation, n.e.c. (not including operation of rail freight terminals, passenger facilities at railway stations or passenger faciliti",52219,H,52,52.2,52.21
52.24/1,Cargo handling for water transport activities of division ##50,52241,H,52,52.2,52.24
52.24/2,Cargo handling for air transport activities of division ##51,52242,H,52,52.2,52.24
52.24/3,Cargo handling for land transport activities of division ##49,52243,H,52,52.2,52.24
53.20/1,Licensed carriers,53201,H,53,53.2,53.20
53.20/2,Unlicensed Carriers,53202,H,53,53.2,53.20
55.20/1,Holiday centres and villages,55201,I,55,55.2,55.20
55.20/2,Youth hostels,55202,I,55,55.2,55.20
55.20/9,Other holiday and other short stay accommodation (not including holiday centres and villages or youth hostels) n.e.c.,55209,I,55,55.2,55.20
56.10/1,Licensed restaurants,56101,I,56,56.1,56.10
56.10/2,Unlicensed restaurants and cafes,56102,I,56,56.1,56.10
56.10/3,Take away food shops and mobile food stands,56103,I,56,56.1,56.10
56.30/1,Licensed clubs,56301,I,56,56.3,56.30
56.30/2,Public houses and bars,56302,I,56,56.3,56.30
58.14/1,Publishing of learned journals,58141,J,58,58.1,58.14
58.14/2,"Publishing of consumer, business and professional journals and periodicals",58142,J,58,58.1,58.14
59.11/1,Motion picture production activities,59111,J,59,59.1,59.11
59.11/2,Video production activities,59112,J,59,59.1,59.11
59.11/3,Television programme production activities,59113,J,59,59.1,59.11
